Land,Code,Label,Ausfuhr: Wert,Einfuhr: Wert
Amerikanisch-Ozeanien (bis 2000),WA18,Kakao und Zubereitungen aus Kakao,0,0
Amerikanisch-Ozeanien (bis 2000),WA19,"Zubereitungen aus Getreide usw., Backwaren",0,0
Amerikanisch-Ozeanien (bis 2000),WA20,"Zubereitungen von Gemüse, Früchten usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA21,Verschiedene Lebensmittelzubereitungen,0,0
Amerikanisch-Ozeanien (bis 2000),WA22,"Getränke, alkoholhaltige Flüssigkeiten, Essig",0,0
Amerikanisch-Ozeanien (bis 2000),WA23,"Rückstände der Lebensmittelindustrie, Futter",0,0
Amerikanisch-Ozeanien (bis 2000),WA24,Tabak,0,0
Amerikanisch-Ozeanien (bis 2000),WA25,"Salz, Schwefel, Steine, Erden usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA26,"Erze, Schlacken, Aschen",0,0
Amerikanisch-Ozeanien (bis 2000),WA27,Mineralische Brennstoffe usw.,0,0
Amerikanisch-Ozeanien (bis 2000),WA28,Anorganische chemische Erzeugnisse,0,0
Amerikanisch-Ozeanien (bis 2000),WA29,Organische chemische Erzeugnisse,0,0
Amerikanisch-Ozeanien (bis 2000),WA30,Pharmazeutische Erzeugnisse,0,0
Amerikanisch-Ozeanien (bis 2000),WA31,Düngemittel,0,0
Amerikanisch-Ozeanien (bis 2000),WA32,"Gerb- und Farbstoffe, Farben, Lacke usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA33,"Etherische Öle, Riech-, Schönheitsmittel",0,0
Amerikanisch-Ozeanien (bis 2000),WA34,"Seifen, Waschmittel usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA35,"Eiweißstoffe, Klebstoffe, Enzyme",0,0
Amerikanisch-Ozeanien (bis 2000),WA36,"Sprengstoffe, pyrotechnische Artikel usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA37,Photochemische Erzeugnisse,0,0
Amerikanisch-Ozeanien (bis 2000),WA38,Verschiedene Erzeugnisse der Chemischen Industrie,0,0
Amerikanisch-Ozeanien (bis 2000),WA39,Kunststoffe und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA40,Kautschuk und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA41,"Häute, Felle, Leder",0,0
Amerikanisch-Ozeanien (bis 2000),WA42,"Lederwaren, Sattlerwaren",0,0
Amerikanisch-Ozeanien (bis 2000),WA43,"Pelzfelle, künstliches Pelzwerk",0,0
Amerikanisch-Ozeanien (bis 2000),WA44,"Holz, Holzwaren, Holzkohle",0,0
Amerikanisch-Ozeanien (bis 2000),WA45,"Kork, Korkwaren",0,0
Amerikanisch-Ozeanien (bis 2000),WA46,"Flechtwaren, Korbmacherwaren",0,0
Amerikanisch-Ozeanien (bis 2000),WA47,"Halbstoffe aus Holz usw., Papierabfall",0,0
Amerikanisch-Ozeanien (bis 2000),WA48,"Papier, Pappe und Waren daraus",0,0
Amerikanisch-Ozeanien (bis 2000),WA49,"Bücher, Zeitungen, Bilddrucke usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA50,Seide,0,0
Amerikanisch-Ozeanien (bis 2000),WA51,"Wolle, feine und grobe Tierhaare",0,0
Amerikanisch-Ozeanien (bis 2000),WA52,Baumwolle,0,0
Amerikanisch-Ozeanien (bis 2000),WA53,"Andere pflanzliche Spinnstoffe, Papiergarn",0,0
Amerikanisch-Ozeanien (bis 2000),WA54,Synthetisches oder künstliches Filament,0,0
Amerikanisch-Ozeanien (bis 2000),WA55,Synthetische oder künstliche Spinnfaser,0,0
Amerikanisch-Ozeanien (bis 2000),WA56,"Watte, Filz, Vliesstoff usw., Tauwerk",0,0
Amerikanisch-Ozeanien (bis 2000),WA57,"Teppiche, Fußbodenbelag aus Spinnstoff",0,0
Amerikanisch-Ozeanien (bis 2000),WA58,"Spezialgewebe, Spitzen, Tapisserien",0,0
Amerikanisch-Ozeanien (bis 2000),WA59,"Getränkte, bestrichene usw. Gewebe",0,0
Amerikanisch-Ozeanien (bis 2000),WA60,Gewirke und Gestricke,0,0
Amerikanisch-Ozeanien (bis 2000),WA61,"Bekleidung usw. aus Gewirken, Gestricken",0,0
Amerikanisch-Ozeanien (bis 2000),WA62,"Andere Bekleidung, Bekleidungszubehör",0,0
Amerikanisch-Ozeanien (bis 2000),WA63,"Andere Konfektion, Spinnstoffwaren usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA64,"Schuhe, Gamaschen, ähnliche Waren",0,0
Amerikanisch-Ozeanien (bis 2000),WA65,Kopfbedeckungen und Teile davon,0,0
Amerikanisch-Ozeanien (bis 2000),WA66,"Schirme, Gehstöcke usw., Peitschen",0,0
Amerikanisch-Ozeanien (bis 2000),WA67,"Zugerichtete Federn, Daunen, künstliche Blumen",0,0
Amerikanisch-Ozeanien (bis 2000),WA68,"Waren aus Steinen, Gips, Zement usw.",0,0
Amerikanisch-Ozeanien (bis 2000),WA69,Keramische Waren,0,0
Amerikanisch-Ozeanien (bis 2000),WA70,Glas und Glaswaren,0,0
Amerikanisch-Ozeanien (bis 2000),WA71,"Perlen, Edelsteine, Edelmetalle",0,0
Amerikanisch-Ozeanien (bis 2000),WA72,Eisen und Stahl,0,0
Amerikanisch-Ozeanien (bis 2000),WA73,Waren aus Eisen oder Stahl,0,0
Amerikanisch-Ozeanien (bis 2000),WA74,Kupfer und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA75,Nickel und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA76,Aluminium und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA78,Blei und Waren daraus,0,0
Amerikanisch-Ozeanien (bis 2000),WA79,Zink und Waren daraus,0,0
